ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
268,Stranding,AMMC,-41.13333,146.61667,Bottlenose dolphin - Common,Tursiops truncatus,5,1987
269,Stranding,AMMC,-42.18333,148.28333,Bottlenose dolphin - Common,Tursiops truncatus,1,1988
270,Stranding,AMMC,-40.75,145.26667,Common dolphin - Short-beaked,Delphinus delphis,70,-
271,Stranding,AMMC,-42.28333,148.01667,Bottlenose dolphin - Common,Tursiops truncatus,1,1920
272,Stranding,AMMC,-41.13333,146.61667,Bottlenose dolphin - Common,Tursiops truncatus,1,1985
273,Stranding,AMMC,-40.8,145.23333,Bottlenose dolphin - Common,Tursiops truncatus,2,1985
274,Stranding,AMMC,-40.8,145.25,Bottlenose dolphin - Common,Tursiops truncatus,3,1985
275,Stranding,AMMC,-42.98333,147.48333,Bottlenose dolphin - Common,Tursiops truncatus,1,1982
276,Stranding,AMMC,-42.83333,147.53333,Bottlenose dolphin - Common,Tursiops truncatus,2,1982
277,Stranding,AMMC,-42.85,147.6,Bottlenose dolphin - Common,Tursiops truncatus,1,1983
278,Stranding,AMMC,-40.83333,148.23333,Bottlenose dolphin - Common,Tursiops truncatus,1,1983
279,Stranding,AMMC,-40.78333,145.21667,Bottlenose dolphin - Common,Tursiops truncatus,5,1983
280,Stranding,AMMC,-40.93333,144.61667,Unidentified dolphin,Unidentified dolphin,1,-
281,Stranding,AMMC,-42.63333,148.03333,Bottlenose dolphin - Common,Tursiops truncatus,1,-
282,Stranding,AMMC,-43,147.43333,Bottlenose dolphin - Common,Tursiops truncatus,1,-
283,Stranding,AMMC,-43.01667,147.91667,Bottlenose dolphin - Common,Tursiops truncatus,1,1967
284,Stranding,AMMC,-42.98333,147.68333,Bottlenose dolphin - Common,Tursiops truncatus,1,1967
285,Stranding,AMMC,-43.05,147.38333,Bottlenose dolphin - Common,Tursiops truncatus,5,1967
286,Stranding,AMMC,-43.3,147.31667,Bottlenose dolphin - Common,Tursiops truncatus,1,1988
287,Stranding,AMMC,-42.88333,147.91667,Bottlenose dolphin - Common,Tursiops truncatus,2,1975
288,Stranding,AMMC,-42.2,145.23333,Bottlenose dolphin - Common,Tursiops truncatus,1,1977
289,Stranding,AMMC,-43.01667,147.28333,Bottlenose dolphin - Common,Tursiops truncatus,10,1977
290,Stranding,AMMC,-43.03333,147.46667,Bottlenose dolphin - Common,Tursiops truncatus,1,1977
291,Stranding,AMMC,-43.36667,147.33333,Bottlenose dolphin - Common,Tursiops truncatus,1,1978
292,Stranding,AMMC,-42.83333,147.53333,Bottlenose dolphin - Common,Tursiops truncatus,2,1978
293,Stranding,AMMC,-43.03333,147.45,Bottlenose dolphin - Common,Tursiops truncatus,2,1980
294,Stranding,AMMC,-42.66667,148.08333,Bottlenose dolphin - Common,Tursiops truncatus,3,-
295,Stranding,AMMC,-42.91667,147.41667,Bottlenose dolphin - Common,Tursiops truncatus,1,1988
296,Stranding,AMMC,-42.2,145.23333,Bottlenose dolphin - Common,Tursiops truncatus,1,1982
297,Stranding,AMMC,-42.75,147.25,Bottlenose dolphin - Common,Tursiops truncatus,1,1985
298,Stranding,AMMC,-40.41667,148,Bottlenose dolphin - Common,Tursiops truncatus,1,1985
299,Stranding,AMMC,-40.23333,148.05,Bottlenose dolphin - Common,Tursiops truncatus,1,1985
300,Stranding,AMMC,-40.13333,148.01667,Bottlenose dolphin - Common,Tursiops truncatus,1,1985
301,Sighting,DPIPWE,-43.29084,147.397,Bottlenose dolphin - Common,Tursiops truncatus,100,1899
302,Sighting,DPIPWE,-42.50963,147.91678,Bottlenose dolphin - Common,Tursiops truncatus,1,1899
303,Sighting,DPIPWE,-42.77804,147.08371,Bottlenose dolphin - Common,Tursiops truncatus,10,2012
304,Bycatch,AMMC,-40,145,Unidentified dolphin,Unidentified dolphin,1,2012
305,Bycatch,AMMC,-40,149,Common dolphin - Short-beaked,Delphinus delphis,1,2011
306,Entanglement,AMMC,-43.01667,147.9,Common dolphin - Short-beaked,Delphinus delphis,2,1991
307,Bycatch,AMMC,-40,144,Unidentified dolphin,Unidentified dolphin,1,2000
308,Sighting,AMMC,-41,144,Unidentified dolphin,Unidentified dolphin,4,2001
309,Bycatch,AMMC,-40,149,Bottlenose dolphin - Common,Tursiops truncatus,3,2004
310,Sighting,AMMC,-40.79833,145.25944,Common dolphin - Short-beaked,Delphinus delphis,1,2004
311,Sighting,AMMC,-42.91944,147.47444,Bottlenose dolphin - Common,Tursiops truncatus,1,2004
312,Sighting,AMMC,-41.14083,146.54083,Bottlenose dolphin - Common,Tursiops truncatus,1,2004
313,Bycatch,AMMC,-41,148,Bottlenose dolphin - Common,Tursiops truncatus,4,2005
314,Bycatch,AMMC,-43,148,Bottlenose dolphin - Common,Tursiops truncatus,1,2005
315,Bycatch,AMMC,-41.11667,148.93333,Unidentified dolphin,Unidentified dolphin,1,2008
316,Sighting,AMMC,-40.3,148.11667,Common dolphin - Short-beaked,Delphinus delphis,30,1998
317,Stranding,AMMC,-40.91667,147.56667,Common dolphin - Short-beaked,Delphinus delphis,1,1991
318,Stranding,AMMC,-43.01667,147.9,Common dolphin - Short-beaked,Delphinus delphis,2,1991
319,Stranding,AMMC,-42.05,148.28333,Common dolphin - Short-beaked,Delphinus delphis,1,1994
320,Stranding,AMMC,-40.23333,148.05,Bottlenose dolphin - Common,Tursiops truncatus,5,1989
321,Sighting,AMMC,-40.71667,143.43333,Common dolphin - Short-beaked,Delphinus delphis,10,1979
322,Sighting,AMMC,-41.11667,143.85,Common dolphin - Short-beaked,Delphinus delphis,45,1979
323,Sighting,AMMC,-43.96667,145.96667,Bottlenose dolphin - Common,Tursiops truncatus,100,1979
324,Sighting,AMMC,-44.38333,145.68333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
325,Stranding,AMMC,-42.21667,145.23333,Bottlenose dolphin - Common,Tursiops truncatus,1,1991
326,Stranding,AMMC,-42.8,147.56667,Common dolphin - Short-beaked,Delphinus delphis,1,1991
327,Stranding,AMMC,-41.06667,145.98333,Common dolphin - Short-beaked,Delphinus delphis,1,1991
328,Stranding,AMMC,-43.15,147.96667,Common dolphin - Short-beaked,Delphinus delphis,1,1991
329,Stranding,AMMC,-43.36667,147.33333,Unidentified dolphin,Unidentified dolphin,20,1991
330,Stranding,AMMC,-40.11667,148,Bottlenose dolphin - Common,Tursiops truncatus,1,1991
331,Stranding,AMMC,-42.9,147.81667,Bottlenose dolphin - Common,Tursiops truncatus,1,1991
332,Stranding,AMMC,-43.18333,147.36667,Common dolphin - Short-beaked,Delphinus delphis,3,1991
333,Stranding,AMMC,-43.35,147.21667,Bottlenose dolphin - Common,Tursiops truncatus,1,1994
334,Stranding,AMMC,-42.2,145.18333,Bottlenose dolphin - Common,Tursiops truncatus,1,1994
335,Stranding,AMMC,-39.85,147.8,Common dolphin - Short-beaked,Delphinus delphis,1,1994
336,Stranding,AMMC,-39.75,147.91667,Common dolphin - Short-beaked,Delphinus delphis,1,1994
337,Stranding,AMMC,-43.11667,147.73333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
338,Stranding,AMMC,-41.01667,145.78333,Bottlenose dolphin - Common,Tursiops truncatus,1,1989
339,Stranding,AMMC,-43.03333,147.45,Bottlenose dolphin - Common,Tursiops truncatus,3,1989
340,Stranding,AMMC,-40.06667,147.95,Common dolphin - Short-beaked,Delphinus delphis,1,1990
341,Stranding,AMMC,-40.06667,147.95,Bottlenose dolphin - Common,Tursiops truncatus,1,1990
342,Stranding,AMMC,-43.26667,147.35,Bottlenose dolphin - Common,Tursiops truncatus,1,1993
343,Stranding,AMMC,-43.46667,147.25,Common dolphin - Short-beaked,Delphinus delphis,1,1993
344,Stranding,AMMC,-42.83333,147.88333,Common dolphin - Short-beaked,Delphinus delphis,1,1993
345,Stranding,AMMC,-42.85,147.85,Common dolphin - Short-beaked,Delphinus delphis,1,1993
346,Stranding,AMMC,-41.75,148.28333,Common dolphin - Short-beaked,Delphinus delphis,1,1993
347,Stranding,AMMC,-40.15,143.91667,Common dolphin - Short-beaked,Delphinus delphis,1,1993
348,Stranding,AMMC,-43,147.66667,Common dolphin - Short-beaked,Delphinus delphis,1,1993
349,Stranding,AMMC,-41.31667,148.31667,Common dolphin - Short-beaked,Delphinus delphis,1,1993
350,Stranding,AMMC,-42.38333,147.2,Common dolphin - Short-beaked,Delphinus delphis,1,1994
351,Sighting,DPIPWE,-42.7183,147.0489,Unidentified dolphin,Unidentified dolphin,1,1899
352,Sighting,DPIPWE,-42.9014,147.4093,Bottlenose dolphin - Common,Tursiops truncatus,10,1899
353,Sighting,DPIPWE,-43.1589,147.4053,Common dolphin - Short-beaked,Delphinus delphis,5,1899
354,Sighting,DPIPWE,-42.1667,148.3071,Unidentified dolphin,Unidentified dolphin,1,1899
